Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Graupner,BS 9632,(add),1.94,1.59,0.83,1.61,4.8,121.8,4.8,0.15,Brushless,Dual Bearings,Hybrid,208.03
Graupner,BS 9632,(add),1.94,1.59,0.83,1.61,6.0,151.5,6.0,0.12,Brushless,Dual Bearings,Hybrid,208.03
Graupner,BS 9722,(add),2.29,1.59,0.83,1.61,4.8,171.3,4.8,0.11,Brushless,Dual Bearings,Metal,246.94
Graupner,BS 9722,(add),2.29,1.59,0.83,1.61,6.0,219.5,6.0,0.08,Brushless,Dual Bearings,Metal,246.94
Graupner,BS 9819,(add),2.29,1.59,0.83,1.61,4.8,320.0,4.8,0.20,Brushless,Dual Bearings,Metal,297.82
Graupner,BS 9819,(add),2.29,1.59,0.83,1.61,6.0,383.7,6.0,0.17,Brushless,Dual Bearings,Metal,297.82
Graupner,C 100,Analog,0.16,0.71,0.26,0.83,4.8,4.0,4.8,0.09,(add),Bushing,Plastic,(add)
Graupner,C 1041,Analog,0.20,0.91,0.39,0.87,4.8,10.0,4.8,0.08,(add),Single Bearing,Plastic,17.99
Graupner,C 1081,Analog,0.22,0.91,0.35,0.83,4.8,15.0,4.8,0.14,(add),Single Bearing,Plastic,17.99
Graupner,C 111,Analog,0.21,0.71,0.26,0.87,4.8,7.0,4.8,0.08,(add),Bushing,Plastic,(add)
