Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Airtronics,94820,Digital,1.04,1.26,0.63,1.24,4.8,76.0,4.8,0.22,3-pole,Dual Bearings,Metal,57.99
Airtronics,94820,Digital,1.04,1.26,0.63,1.24,6.0,90.0,6.0,0.18,3-pole,Dual Bearings,Metal,57.99
Airtronics,94831Z,Analog,1.09,1.46,0.71,1.18,6.0,61.0,6.0,0.16,5-pole,Single Bearing,Hybrid,32.95
Airtronics,94921Z,(add),1.69,1.74,0.87,0.92,4.8,56.0,4.8,0.16,Coreless,(add),(add),82.95
Airtronics,94921Z,(add),1.69,1.74,0.87,0.92,6.0,70.0,6.0,0.13,Coreless,(add),(add),82.95
Airtronics,94924Z,(add),1.60,1.74,0.87,0.92,4.8,77.0,4.8,0.48,5-pole,(add),(add),74.95
Airtronics,94924Z,(add),1.60,1.74,0.87,0.92,6.0,96.0,6.0,0.38,5-pole,(add),(add),74.95
Airtronics,94930,Digital,2.15,1.59,0.83,1.5,4.8,88.0,4.8,0.13,Brushless,Dual Bearings,Metal,199.99
Airtronics,94950,Digital,2.15,1.59,0.83,1.5,4.8,100.0,4.8,0.13,Coreless,Dual Bearings,Metal,179.99
Airtronics,97738Z,Analog,1.94,1.54,0.79,1.38,4.8,70.0,4.8,0.2,(add),Dual Bearings,Hybrid,(add)
Airtronics,97738Z,Analog,1.94,1.54,0.79,1.38,6.0,88.0,6.0,0.16,(add),Dual Bearings,Hybrid,(add)
Align,DS510,Digital,0.91,1.38,0.59,1.15,4.8,51.4,4.8,0.13,Coreless,Dual Bearings,Plastic,49.99
Align,DS510,Digital,0.91,1.38,0.59,1.15,6.0,63.9,6.0,0.11,Coreless,Dual Bearings,Plastic,49.99
Align,DS510M,Digital,1.02,1.38,0.59,1.15,4.8,51.4,4.8,0.13,Coreless,Dual Bearings,Metal,62.99
Align,DS510M,Digital,1.02,1.38,0.59,1.15,6.0,63.9,6.0,0.11,Coreless,Dual Bearings,Metal,62.99
Align,DS650,Digital,1.98,1.64,0.82,1.47,4.8,55.5,4.8,0.06,Coreless,Dual Bearings,Metal,75.99
Align,DS650,Digital,1.98,1.64,0.82,1.47,6.0,69.4,6.0,0.05,Coreless,Dual Bearings,Metal,75.99
Associated Electronics,SHV1054,(add),1.67,1.59,0.79,1.49,7.4,54.0,7.4,0.15,(add),Bushing,Plastic,16.99
Associated Electronics,SHV1504MG,(add),1.81,1.59,0.79,1.49,7.4,54.0,7.4,0.15,(add),Bushing,Metal,19.94
Batan,B1211,Analog,1.76,1.55,0.76,1.52,6.0,97.2,6.0,0.18,(add),Single Bearing,Metal,(add)
Batan,B1221,Analog,1.52,1.55,0.76,1.52,6.0,62.5,6.0,0.23,(add),Single Bearing,Plastic,(add)
Batan,B1223,Analog,1.31,1.55,0.76,1.52,6.0,100.0,6.0,0.23,(add),Single Bearing,Plastic,(add)
Batan,B1225,Analog,1.31,1.55,0.76,1.52,6.0,76.4,6.0,0.18,(add),Single Bearing,Plastic,(add)
Batan,B128F,Analog,2.12,1.55,0.76,1.52,6.0,97.2,6.0,0.12,(add),Single Bearing,Metal,(add)
Batan,D122F,Digital,1.31,1.55,0.76,1.52,6.0,83.3,6.0,0.17,(add),Single Bearing,Plastic,(add)
Batan,D124F,Digital,1.76,1.55,0.76,1.52,6.0,90.3,6.0,0.17,(add),Single Bearing,Metal,(add)
Batan,D125F,Digital,1.52,1.55,0.76,1.52,6.0,55.5,6.0,0.17,(add),Single Bearing,Plastic,(add)
Batan,D126F,Digital,1.52,1.55,0.76,1.52,6.0,69.4,6.0,0.22,(add),Single Bearing,Plastic,(add)
Batan,D132F,Digital,1.52,1.55,0.76,1.52,6.0,83.3,6.0,0.14,(add),Single Bearing,Plastic,(add)
Batan,D135F,Digital,1.52,1.55,0.76,1.52,6.0,97.2,6.0,0.14,(add),Single Bearing,Plastic,(add)
Batan,S1213,Analog,1.41,1.55,0.76,1.52,6.0,62.5,6.0,0.23,(add),Bushing,Plastic,(add)
Blue Arrow,D26011,Digital,0.92,1.4,0.59,1.32,4.8,58.3,4.8,0.12,Coreless,(add),Plastic,(add)
Blue Arrow,D26011,Digital,0.92,1.4,0.59,1.32,6.0,69.4,6.0,0.11,Coreless,(add),Plastic,(add)
Blue Arrow,D26012MG,Digital,1.21,1.4,0.59,1.32,4.8,58.3,4.8,0.12,Coreless,(add),Metal,(add)
Blue Arrow,D26012MG,Digital,1.21,1.4,0.59,1.32,6.0,69.4,6.0,0.11,Coreless,(add),Metal,(add)
Blue Arrow,D50013,Digital,1.84,1.42,0.71,1.5,4.8,97.2,4.8,0.17,Coreless,(add),Plastic,(add)
Blue Arrow,S48010,Analog,1.70,1.58,0.79,1.67,4.8,62.5,4.8,0.13,(add),(add),Plastic,(add)
Blue Arrow,S48010,Analog,1.70,1.58,0.79,1.67,6.0,76.4,6.0,0.12,(add),(add),Plastic,(add)
Blue Bird,BMS-136BB,Analog,0.99,1.65,0.85,0.87,4.8,85.0,4.8,0.31,(add),Dual Bearings,Plastic,16.66
Blue Bird,BMS-136MG,Analog,1.20,1.65,0.85,0.87,4.8,85.0,4.8,0.31,(add),Dual Bearings,Metal,19.47
Blue Bird,BMS-380MAX,Analog,0.64,1.2,0.5,1.0,4.8,57.0,4.8,0.16,(add),Single Bearing,Metal,22.89
Blue Bird,BMS-380MAX,Analog,0.64,1.2,0.5,1.0,6.0,62.0,6.0,0.14,(add),Single Bearing,Metal,22.89
Blue Bird,BMS-380MG,Analog,0.58,1.2,0.5,1.0,4.8,50.0,4.8,0.15,(add),(add),Metal,19.47
Blue Bird,BMS-380MG,Analog,0.58,1.2,0.5,1.0,6.0,57.0,6.0,0.14,(add),(add),Metal,19.47
Blue Bird,BMS-385DMAX,Digital,0.59,1.0,0.5,1.0,4.8,57.0,4.8,0.15,(add),Single Bearing,Metal,34.27
Blue Bird,BMS-385DMAX,Digital,0.59,1.0,0.5,1.0,6.0,62.0,6.0,0.13,(add),Single Bearing,Metal,34.27
Blue Bird,BMS-410,Digital,1.48,1.6,0.8,1.5,6.0,60.0,6.0,0.22,(add),(add),(add),9.03
Blue Bird,BMS-555DMG,Digital,0.81,1.18,0.39,1.33,4.8,57.0,4.8,0.15,(add),(add),Metal,29.99
Blue Bird,BMS-555DMG,Digital,0.81,1.18,0.39,1.33,6.0,62.0,6.0,0.13,(add),(add),Metal,29.99
Blue Bird,BMS-555MG,Analog,0.81,1.18,0.39,1.33,4.8,57.0,4.8,0.15,(add),Single Bearing,Metal,(add)
Blue Bird,BMS-621,Analog,1.45,1.6,0.8,1.5,4.8,89.0,4.8,0.13,(add),(add),(add),15.46
Blue Bird,BMS-621,Analog,1.45,1.6,0.8,1.5,6.0,100.0,6.0,0.1,(add),(add),(add),15.46
Blue Bird,BMS-621MG,Analog,1.66,1.6,0.8,1.5,4.8,89.0,4.8,0.13,3-pole,(add),(add),20.28
Blue Bird,BMS-621MG,Analog,1.66,1.6,0.8,1.5,6.0,100.0,6.0,0.1,3-pole,(add),(add),20.28
Blue Bird,BMS-631,Analog,1.80,1.6,0.8,1.5,4.8,69.0,4.8,0.1,(add),Dual Bearings,Metal,11.76
