Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Airtronics/ Sanwa,94360Z,Analog,2.18,1.54,0.79,1.47,6.0,125.0,6.0,0.07,Coreless,Dual Bearings,Metal,109.95
Airtronics/ Sanwa,94361Z,Analog,2.11,1.54,0.79,1.47,4.8,160.0,4.8,0.09,Coreless,Dual Bearings,Metal,109.95
Airtronics/ Sanwa,94361Z,Analog,2.11,1.54,0.79,1.47,6.0,200.0,6.0,0.07,Coreless,Dual Bearings,Metal,109.95
Airtronics/ Sanwa,94362Z,Analog,2.11,1.54,0.79,1.47,4.8,100.0,4.8,0.09,Coreless,Dual Bearings,Metal,119.95
Airtronics/ Sanwa,94362Z,Analog,2.11,1.54,0.79,1.47,6.0,125.0,6.0,0.07,Coreless,Dual Bearings,Metal,119.95
Airtronics/ Sanwa,94407Z,(add),2.07,1.54,0.79,1.47,4.8,29.0,4.8,0.23,Coreless,(add),(add),(add)
Airtronics/ Sanwa,94451Z,Analog,1.94,1.54,0.79,1.47,4.8,88.0,4.8,0.15,(add),Dual Bearings,Plastic,109.95
Airtronics/ Sanwa,94451Z,Analog,1.94,1.54,0.79,1.47,6.0,110.0,6.0,0.12,(add),Dual Bearings,Plastic,109.95
Airtronics/ Sanwa,94452Z,Analog,2.08,1.54,0.79,1.47,4.8,77.0,4.8,0.11,Coreless,Dual Bearings,Hybrid,114.95
Airtronics/ Sanwa,94452Z,Analog,2.08,1.54,0.79,1.47,6.0,96.0,6.0,0.09,Coreless,Dual Bearings,Hybrid,114.95
Airtronics/ Sanwa,94453Z,Analog,2.08,1.54,0.79,1.47,4.8,99.0,4.8,0.17,(add),Dual Bearings,Hybrid,114.95
Airtronics/ Sanwa,94453Z,Analog,2.08,1.54,0.79,1.47,6.0,124.0,6.0,0.14,(add),Dual Bearings,Hybrid,114.95
Airtronics/ Sanwa,94501Z,Analog,0.53,1.06,0.49,1.06,4.8,18.0,4.8,0.24,Coreless,Bushing,Plastic,49.95
Airtronics/ Sanwa,94501Z,Analog,0.53,1.06,0.49,1.06,6.0,23.0,6.0,0.19,Coreless,Bushing,Plastic,49.95
Airtronics/ Sanwa,94555Z,Analog,0.56,1.06,0.49,1.06,4.8,22.0,4.8,0.21,(add),Bushing,Metal,74.95
Airtronics/ Sanwa,94555Z,Analog,0.56,1.06,0.49,1.06,6.0,28.0,6.0,0.17,(add),Bushing,Metal,74.95
Airtronics/ Sanwa,94556Z,Analog,0.56,1.06,0.49,1.06,4.8,31.0,4.8,0.24,Coreless,Bushing,Hybrid,(add)
